﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:54MQc7UtIAogdoU5h0KNOP","Twinkling Star","Clark Ingram","Twinkling Star","1","1","170784","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3QsoPGMF4htRG0IWr6tW5z","Shimbashi","Edo Vibes","Edo Vibes","1","1","182166","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7BX9pdIbf4LkCIWmFYp3tN","Celtic Cowboy","Charlotte Funke","Celtic Cowboy","1","1","152000","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2C6BCDdtYjbbbAucqaw9NG","Squares of life","Piotr Miteska","Squares of Life","1","1","165034","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2arnhO5us8aYdi5kYBiQPa","Painting The Horizon","Deep Inside","Silent Shores","1","2","143777","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4KyJQKAFvEH4F52qSMuwIF","Olancha Farewell","Harold Budd","Lovely Thunder","1","4","138426","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6uWjjaiquXsjuQuks2mZME","Sugarcane","Ana Olgica","Sugarcane","1","1","144500","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5FoZCDCl6WhrAIm4Ygyjg7","Quiet Resource","Evelyn Stein","Quiet resource","1","1","207348","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2dv7Jf570NkaWlW7NcsYTa","Friendship Before Love","Cellophane Roses","Friendship Before Love","1","1","109544","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7CzyIeMXvK2BFc9rc6wqJf","Erin's Waltz","Per Magnusson","Erin's Waltz","1","1","197155","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5P8yZZg1zl6nAtgDEYFtsH","The Valley","Velodrome","Theme From Schindlers List","1","2","185853","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6efIeK8Md9RS43qoCTfM35","Vigil","Jack Wall, EA Games Soundtrack","Mass Effect (EA Games Soundtrack)","1","27","102480","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5nzGBQeLesWrD0J8Ctz75z","Sea Of Tranquility","Julius Aston","Sea Of Tranquility","1","1","175318","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4VH3rKj1tmhUZtX3U43jBq","The Whispers","Harold Budd","In The Mist","1","2","163000","spotify:user:","2019-01-10T22:30:48Z"
